City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,punta arenas,-53.15,-70.9167,10.06,50,20,12.86,CL,1670093252
84,castro,-24.7911,-50.0119,22.19,85,100,0.79,BR,1670093218
85,provideniya,64.3833,-173.3,-4.48,93,100,9.32,RU,1670093373
86,abreus,22.2775,-80.5675,30.17,55,95,8.34,CU,1670093373
87,kahului,20.8947,-156.47,26.02,76,20,5.81,US,1670093374
88,omboue,-1.5746,9.2618,25.16,88,100,1.91,GA,1670093375
89,camacha,33.0833,-16.3333,14.68,72,40,3.09,PT,1670093376
90,bolotnoye,55.6717,84.3981,-22.82,99,71,3.12,RU,1670093376
91,mujiayingzi,42.1167,118.7833,-13.73,43,0,3.17,CN,1670093377
92,grindavik,63.8424,-22.4338,1.26,93,0,2.57,IS,1670093377
93,santona,43.4439,-3.4576,6.5,88,100,2.95,ES,1670093378
94,coquimbo,-29.9533,-71.3436,17.85,72,75,5.66,CL,1670093296
95,aloleng,16.1307,119.7824,26.17,79,100,3.3,PH,1670093379
96,mar del plata,-38.0023,-57.5575,29.35,71,0,6.17,AR,1670093111
97,merke,42.8728,73.1786,-2.7,74,100,1.23,KZ,1670093380
98,warrington,53.3925,-2.5802,6.29,89,46,0.45,GB,1670093085
99,birao,10.2849,22.7882,24.95,19,12,2.64,CF,1670093381
100,bethel,41.3712,-73.414,13.2,86,100,0.89,US,1670093382
101,ozu,33.5,132.55,11.57,86,100,2.0,JP,1670093382
102,itoman,26.1247,127.6694,22.21,83,20,7.72,JP,1670093383
103,fallon,39.4735,-118.7774,1.36,56,40,2.57,US,1670093384
104,kushima,31.4583,131.2333,14.23,96,100,2.65,JP,1670093384
105,ingleside,27.8778,-97.2117,26.0,83,75,2.57,US,1670093385
106,khromtau,50.2503,58.4347,-17.95,82,2,6.59,KZ,1670093385
107,minnedosa,50.2453,-99.8436,-17.69,84,20,6.12,CA,1670093134
108,saint-georges,12.0564,-61.7485,27.82,74,75,2.06,GD,1670093386
109,leningradskiy,69.3833,178.4167,-15.89,77,100,3.2,RU,1670093387
110,ribeira grande,38.5167,-28.7,14.32,77,75,7.2,PT,1670093387
111,shahrud,36.4182,54.9763,4.4,77,22,2.4,IR,1670093388
112,hasaki,35.7333,140.8333,2.22,70,100,4.78,JP,1670093389
113,creemore,44.327,-80.1075,2.75,76,91,9.26,CA,1670093389
114,avarua,-21.2078,-159.775,28.03,83,75,4.12,CK,1670093390
115,arlit,18.7369,7.3853,25.74,14,7,2.04,NE,1670093286
116,khatanga,71.9667,102.5,-18.13,93,100,9.41,RU,1670093391
117,carnarvon,-24.8667,113.6333,20.87,82,0,7.83,AU,1670093097
